Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count
1,Specimen1,1,A1,control_A,2/16/2023 5:40:15 PM,25996
1,Specimen1,1,A2,pH6_A,2/16/2023 5:41:27 PM,26125
1,Specimen1,1,A3,pH7_A,2/16/2023 5:42:52 PM,18738
1,Specimen1,1,A4,15C_A,2/16/2023 5:44:07 PM,16290
1,Specimen1,1,A5,30C_A,2/16/2023 5:45:33 PM,16460
1,Specimen1,1,A6,High iron_A,2/16/2023 5:46:49 PM,15759
1,Specimen1,1,A7,Stagnant_A,2/16/2023 5:48:21 PM,16186
1,Specimen1,1,A8,No Vit.Min_A,2/16/2023 5:49:38 PM,17489
1,Specimen1,1,B1,Control_B,2/16/2023 5:51:08 PM,15663
1,Specimen1,1,B2,pH6_B,2/16/2023 5:52:24 PM,17321
1,Specimen1,1,B3,pH7_B,2/16/2023 5:53:48 PM,17449
1,Specimen1,1,B4,15C_B,2/16/2023 5:55:04 PM,16011
1,Specimen1,1,B5,30C_B,2/16/2023 5:56:23 PM,16104
1,Specimen1,1,B6,High iron_B,2/16/2023 5:57:40 PM,15269
1,Specimen1,1,B7,Stagnant_B,2/16/2023 5:59:11 PM,16502
1,Specimen1,1,B8,No Vit.Min_B,2/16/2023 6:00:28 PM,17763
1,Specimen1,1,C1,Control_C,2/16/2023 6:01:57 PM,16205
1,Specimen1,1,C2,pH6_C,2/16/2023 6:03:13 PM,17677
1,Specimen1,1,C3,pH7_C,2/16/2023 6:04:31 PM,17379
1,Specimen1,1,C4,15C_C,2/16/2023 6:05:47 PM,17199
1,Specimen1,1,C5,30C_C,2/16/2023 6:07:12 PM,17107
1,Specimen1,1,C6,High iron_C,2/16/2023 6:08:28 PM,15852
1,Specimen1,1,C7,Stagnant_C,2/16/2023 6:09:44 PM,16725
1,Specimen1,1,C8,No Vit.Min_C,2/16/2023 6:11:00 PM,18299
1,Specimen1,1,D1,Control_D,2/16/2023 6:12:18 PM,19205
