name ,Hrs of samples ,CO2_ppm,skip
Control_A,21:15:00,3451,
Control_B,21:15:00,3482,
Control_C,21:15:00,2541,
Control_D,21:15:00,280,
pH 6_A,21:15:00,2056,
pH 6_B,21:15:00,2587,
pH 6_C,21:15:00,2723,
pH 6_D,21:15:00,435,
pH 7.4_A,21:15:00,958,
pH 7.4_B,21:15:00,1121,
pH 7.4_C,21:15:00,1323,
pH 7.4_D,21:15:00,306,
15C_A,21:15:00,1651,
15C_B,21:15:00,1753,
15C_C,21:15:00,1709,
15C_D,21:15:00,525,
30C_A,21:15:00,42881,
30C_B,21:15:00,40895,
30C_C,21:15:00,41148,
30C_D,21:15:00,291,
High Iron_A,21:15:00,1728,
High Iron_B,21:15:00,1379,
High Iron_C,21:15:00,1425,
High Iron_D,21:15:00,333,
Stagnant_A,21:15:00,627,
Stagnant_B,21:15:00,835,
Stagnant_C,21:15:00,667,
Stagnant_D,21:15:00,282,
No Vit.Min._A,21:15:00,1033,
No Vit.Min._B,21:15:00,1791,
No Vit.Min._C,21:15:00,1840,
No Vit.Min._D,21:15:00,328,
Control_A,46:33:00,43339,
Control_B,46:33:00,35395,
Control_C,46:33:00,40119,
Control_D,46:33:00,338,
pH 6_A,46:33:00,50145,
pH 6_B,46:33:00,47481,
pH 6_C,46:33:00,51566,
pH 6_D,46:33:00,6011,
pH 7.4_A,46:33:00,34344,
pH 7.4_B,46:33:00,32681,
pH 7.4_C,46:33:00,34504,
pH 7.4_D,46:33:00,552,
15C_A,46:33:00,7437,
15C_B,46:33:00,8879,
15C_C,46:33:00,7238,
15C_D,46:33:00,765,
30C_A,46:33:00,46712,
30C_B,46:33:00,43558,
30C_C,46:33:00,47075,
30C_D,46:33:00,395,
High Iron_A,46:33:00,32636,
High Iron_B,46:33:00,36241,
High Iron_C,46:33:00,39381,
High Iron_D,46:33:00,617,
Stagnant_A,46:33:00,2488,
Stagnant_B,46:33:00,2245,
Stagnant_C,46:33:00,2453,
Stagnant_D,46:33:00,392,
No Vit.Min._A,46:33:00,26905,
No Vit.Min._B,46:33:00,18650,
No Vit.Min._C,46:33:00,22548,
No Vit.Min._D,46:33:00,581,
Control_A,68:03:00,50284,
Control_B,68:03:00,43965,
Control_C,68:03:00,49770,
Control_D,68:03:00,328,
pH 6_A,68:03:00,54679,
pH 6_B,68:03:00,51295,
pH 6_C,68:03:00,55192,
pH 6_D,68:03:00,904,
pH 7.4_A,68:03:00,49393,
pH 7.4_B,68:03:00,39786,
pH 7.4_C,68:03:00,44768,
pH 7.4_D,68:03:00,719,
15C_A,68:03:00,34282,
15C_B,68:03:00,38379,
15C_C,68:03:00,33608,
15C_D,68:03:00,475,
30C_A,68:03:00,48881,
30C_B,68:03:00,56609,
30C_C,68:03:00,51070,
30C_D,68:03:00,354,
High Iron_A,68:03:00,51377,
High Iron_B,68:03:00,49770,
High Iron_C,68:03:00,52333,
High Iron_D,68:03:00,642,
Stagnant_A,68:03:00,5066,
Stagnant_B,68:03:00,4403,
Stagnant_C,68:03:00,5995,
Stagnant_D,68:03:00,464,
No Vit.Min._A,68:03:00,45795,
No Vit.Min._B,68:03:00,35336,
No Vit.Min._C,68:03:00,38053,
No Vit.Min._D,68:03:00,1698,
Control_A,94:27:00,48117,
Control_B,94:27:00,47745,
Control_C,94:27:00,41780,
Control_D,94:27:00,473,
pH 6_A,94:27:00,38000,
pH 6_B,94:27:00,59202,
pH 6_C,94:27:00,20142,
pH 6_D,94:27:00,598,
pH 7.4_A,94:27:00,32118,
pH 7.4_B,94:27:00,43693,
pH 7.4_C,94:27:00,46408,
pH 7.4_D,94:27:00,471,
15C_A,94:27:00,47748,
15C_B,94:27:00,46362,
15C_C,94:27:00,44513,
15C_D,94:27:00,356,
30C_A,94:27:00,41691,
30C_B,94:27:00,45410,
30C_C,94:27:00,42350,
30C_D,94:27:00,634,
High Iron_A,94:27:00,47799,
High Iron_B,94:27:00,37480,
High Iron_C,94:27:00,30047,
High Iron_D,94:27:00,501,
Stagnant_A,94:27:00,12603,
Stagnant_B,94:27:00,9725,
Stagnant_C,94:27:00,14383,
Stagnant_D,94:27:00,1087,
No Vit.Min._A,94:27:00,28021,
No Vit.Min._B,94:27:00,44034,
No Vit.Min._C,94:27:00,42487,
No Vit.Min._D,94:27:00,44503,
Control_A,115:10:00,38218,
Control_B,115:10:00,44502,
Control_C,115:10:00,24998,
Control_D,115:10:00,455,
pH 6_A,115:10:00,16358,
pH 6_B,115:10:00,36325,
pH 6_C,115:10:00,12091,
pH 6_D,115:10:00,652,
pH 7.4_A,115:10:00,20739,
pH 7.4_B,115:10:00,42847,
pH 7.4_C,115:10:00,39772,
pH 7.4_D,115:10:00,417,
15C_A,115:10:00,47094,
15C_B,115:10:00,47440,
15C_C,115:10:00,47770,
15C_D,115:10:00,526,
30C_A,115:10:00,35581,
30C_B,115:10:00,39372,
30C_C,115:10:00,35479,
30C_D,115:10:00,769,
High Iron_A,115:10:00,47032,
High Iron_B,115:10:00,20366,
High Iron_C,115:10:00,14457,
High Iron_D,115:10:00,566,
Stagnant_A,115:10:00,12822,
Stagnant_B,115:10:00,15608,
Stagnant_C,115:10:00,16580,
Stagnant_D,115:10:00,3356,
No Vit.Min._A,115:10:00,14988,
No Vit.Min._B,115:10:00,39466,
No Vit.Min._C,115:10:00,45994,
No Vit.Min._D,115:10:00,45449,
Control_A,139:10:00,30187,
Control_B,139:10:00,36845,
Control_C,139:10:00,18213,
Control_D,139:10:00,429,
pH 6_A,139:10:00,1058,
pH 6_B,139:10:00,2814,
pH 6_C,139:10:00,6041,
pH 6_D,139:10:00,547,
pH 7.4_A,139:10:00,11302,
pH 7.4_B,139:10:00,39961,
pH 7.4_C,139:10:00,33970,
pH 7.4_D,139:10:00,477,
15C_A,139:10:00,45155,
15C_B,139:10:00,34666,
15C_C,139:10:00,44366,
15C_D,139:10:00,587,
30C_A,139:10:00,30011,
30C_B,139:10:00,32672,
30C_C,139:10:00,26461,
30C_D,139:10:00,461,
High Iron_A,139:10:00,39871,
High Iron_B,139:10:00,16324,
High Iron_C,139:10:00,9789,
High Iron_D,139:10:00,1047,
Stagnant_A,139:10:00,16232,
Stagnant_B,139:10:00,13792,
Stagnant_C,139:10:00,18463,
Stagnant_D,139:10:00,2355,
No Vit.Min._A,139:10:00,9412,
No Vit.Min._B,139:10:00,37193,
No Vit.Min._C,139:10:00,43044,
No Vit.Min._D,139:10:00,49449,
Control_A,163:10:00,23975,
Control_B,163:10:00,27239,
Control_C,163:10:00,13635,
Control_D,163:10:00,407,
pH 6_A,163:10:00,3570,
pH 6_B,163:10:00,16760,
pH 6_C,163:10:00,5506,
pH 6_D,163:10:00,606,
pH 7.4_A,163:10:00,8173,
pH 7.4_B,163:10:00,31417,
pH 7.4_C,163:10:00,26253,
pH 7.4_D,163:10:00,583,
15C_A,163:10:00,35264,
15C_B,163:10:00,34521,
15C_C,163:10:00,40429,
15C_D,163:10:00,1691,
30C_A,163:10:00,23192,
30C_B,163:10:00,18581,
30C_C,163:10:00,17930,
30C_D,163:10:00,32610,
High Iron_A,163:10:00,17421,
High Iron_B,163:10:00,6712,
High Iron_C,163:10:00,4051,
High Iron_D,163:10:00,34257,
Stagnant_A,163:10:00,6048,
Stagnant_B,163:10:00,23244,
Stagnant_C,163:10:00,18554,
Stagnant_D,163:10:00,25770,
No Vit.Min._A,163:10:00,4859,skip
No Vit.Min._B,163:10:00,26219,
No Vit.Min._C,163:10:00,32572,
No Vit.Min._D,163:10:00,55366,
